Lon,Lat,YearDay,Time,Satellite,Method,Ecosystem,FRP
-80.980000,26.796000,2020001,"1441",GOES-EAST,ABI,94,26.223
-80.980000,26.796000,2020001,"1500",GOES-EAST,ABI,94,59.574
-80.628000,27.025000,2020001,"1501",GOES-EAST,ANALYSIS,94,-999.000
-80.999000,26.808000,2020001,"1526",GOES-EAST,ANALYSIS,56,-999.000
-81.169000,26.820000,2020001,"1536",GOES-EAST,ABI,31,73.611
-81.170000,26.841000,2020001,"1540",GOES-EAST,ABI,31,118.878
-81.190000,26.821000,2020001,"1616",GOES-EAST,ANALYSIS,31,-999.000
-91.468000,38.355000,2020001,"1640",GOES-EAST,ABI,26,105.791
-82.645000,33.551000,2020001,"1651",GOES-EAST,ANALYSIS,27,-999.000
-83.280000,30.349000,2020001,"1826",GOES-EAST,ANALYSIS,35,-999.000
-82.579000,30.021000,2020001,"1836",GOES-EAST,ANALYSIS,94,-999.000
-86.065000,31.496000,2020001,"1836",GOES-EAST,ANALYSIS,27,-999.000
-82.884000,32.737000,2020001,"1836",GOES-EAST,ANALYSIS,31,-999.000
-83.265000,30.191000,2020001,"1911",GOES-EAST,ANALYSIS,56,-999.000
-85.411000,31.811000,2020001,"1911",GOES-EAST,ANALYSIS,31,-999.000
-85.252000,31.929000,2020001,"1920",GOES-EAST,ABI,27,33.273
-85.374000,32.002000,2020001,"1921",GOES-EAST,ABI,27,35.719
-83.587000,30.561000,2020001,"1946",GOES-EAST,ANALYSIS,94,-999.000
-82.769000,29.504000,2020001,"1956",GOES-EAST,ANALYSIS,31,-999.000
-83.634000,32.043000,2020001,"1956",GOES-EAST,ANALYSIS,35,-999.000
-82.883000,32.717000,2020001,"2006",GOES-EAST,ABI,27,42.150
-82.136000,32.141000,2020001,"2006",GOES-EAST,ANALYSIS,94,-999.000
-91.963000,38.029000,2020001,"2010",GOES-EAST,ABI,26,47.833
-88.476000,38.479000,2020001,"2011",GOES-EAST,ANALYSIS,57,-999.000
-91.738000,37.548000,2020001,"2021",GOES-EAST,ANALYSIS,26,-999.000
-87.028000,31.635000,2020001,"2110",GOES-EAST,ABI,27,31.895
-88.456000,38.180000,2020001,"2156",GOES-EAST,ANALYSIS,57,-999.000
