Lon,Lat,YearDay,Time,Satellite,Method,Ecosystem,FRP
-78.969000,38.823000,2012001,"1245",GOES-EAST,ANALYSIS,24,-999.000
-80.513000,26.499000,2012001,"1415",GOES-EAST,ANALYSIS,27,-999.000
-80.536000,26.556000,2012001,"1415",GOES-EAST,ANALYSIS,31,-999.000
-81.125000,26.883000,2012001,"1415",GOES-EAST,ANALYSIS,56,-999.000
-80.679000,26.558000,2012001,"1445",GOES-EAST,ANALYSIS,31,-999.000
-80.821000,26.589000,2012001,"1445",GOES-EAST,ANALYSIS,94,-999.000
-80.606000,26.606000,2012001,"1445",GOES-EAST,ANALYSIS,43,-999.000
-80.514000,26.648000,2012001,"1445",GOES-EAST,ANALYSIS,27,-999.000
-81.254000,26.672000,2012001,"1445",GOES-EAST,ANALYSIS,35,-999.000
-80.953000,26.745000,2012001,"1445",GOES-EAST,ANALYSIS,56,-999.000
-80.453000,26.818000,2012001,"1445",GOES-EAST,ANALYSIS,57,-999.000
-80.738000,26.545000,2012001,"1515",GOES-EAST,ANALYSIS,94,-999.000
-80.568000,26.743000,2012001,"1515",GOES-EAST,ANALYSIS,24,-999.000
-81.013000,26.762000,2012001,"1515",GOES-EAST,ANALYSIS,27,-999.000
-80.489000,26.443000,2012001,"1545",GOES-EAST,ANALYSIS,27,-999.000
-80.719000,26.629000,2012001,"1545",GOES-EAST,ANALYSIS,94,-999.000
-80.587000,26.937000,2012001,"1545",GOES-EAST,ANALYSIS,27,-999.000
-81.002000,26.730000,2012001,"1545",GOES-EAST,IMAGER,94,-999.000
-80.466000,26.506000,2012001,"1602",GOES-EAST,IMAGER,27,-999.000
-80.481000,26.708000,2012001,"1615",GOES-EAST,ANALYSIS,31,-999.000
-80.485000,26.422000,2012001,"1632",GOES-EAST,IMAGER,27,-999.000
-80.601000,26.713000,2012001,"1645",GOES-EAST,ANALYSIS,27,-999.000
-80.492000,26.830000,2012001,"1845",GOES-EAST,ANALYSIS,31,-999.000
-94.182000,29.702000,2012001,"1915",GOES-EAST,ANALYSIS,31,-999.000
-88.512000,31.017000,2012001,"1915",GOES-EAST,ANALYSIS,27,-999.000
-87.382000,35.697000,2012001,"1915",GOES-EAST,ANALYSIS,26,-999.000
-80.415000,26.708000,2012001,"1945",GOES-EAST,ANALYSIS,31,-999.000
-79.686000,33.568000,2012001,"2015",GOES-EAST,ANALYSIS,27,-999.000
-80.519000,26.788000,2012001,"2045",GOES-EAST,ANALYSIS,94,-999.000
-94.284000,29.753000,2012001,"2145",GOES-EAST,ANALYSIS,31,-999.000
-91.652000,29.998000,2012001,"2145",GOES-EAST,ANALYSIS,30,-999.000
-86.154000,30.608000,2012001,"2145",GOES-EAST,ANALYSIS,94,-999.000
-91.720000,29.765000,2012001,"2215",GOES-EAST,ANALYSIS,31,-999.000
-93.694000,29.777000,2012001,"2215",GOES-EAST,ANALYSIS,31,-999.000
-92.864000,37.807000,2012001,"2215",GOES-EAST,ANALYSIS,26,-999.000
-91.945000,29.867000,2012001,"2315",GOES-EAST,ANALYSIS,31,-999.000
-92.874000,37.818000,2012001,"2315",GOES-EAST,ANALYSIS,26,-999.000
-94.263000,29.751000,2012001,"2345",GOES-EAST,ANALYSIS,31,-999.000
-94.284000,29.753000,2012001,"2345",GOES-EAST,ANALYSIS,31,-999.000
-94.446000,31.634000,2012001,"2345",GOES-EAST,ANALYSIS,27,-999.000
-93.435000,38.972000,2012002,"0045",GOES-EAST,ANALYSIS,23,-999.000
-94.374000,35.961000,2012002,"0145",GOES-EAST,ANALYSIS,57,-999.000
-94.200000,29.656000,2012002,"0245",GOES-EAST,ANALYSIS,31,-999.000
-94.188000,29.665000,2012002,"0245",GOES-EAST,ANALYSIS,31,-999.000
-94.208000,29.677000,2012002,"0245",GOES-EAST,ANALYSIS,30,-999.000
-94.185000,29.683000,2012002,"0245",GOES-EAST,ANALYSIS,30,-999.000
-94.216000,29.629000,2012002,"0615",GOES-EAST,IMAGER,31,-999.000
-94.194000,29.627000,2012002,"0625",GOES-EAST,IMAGER,30,-999.000
-94.194000,29.627000,2012002,"0632",GOES-EAST,IMAGER,30,-999.000
