Lon,Lat,YearDay,Time,Satellite,Method,Ecosystem,FRP
-81.196000,26.883000,2017001,"1415",GOES-EAST,ANALYSIS,31,-999.000
-81.353000,26.674000,2017001,"1845",GOES-EAST,ANALYSIS,56,-999.000
-80.640000,26.510000,2017001,"1930",GOES-EAST,IMAGER,31,-999.000
-80.850000,26.510000,2017001,"2000",GOES-EAST,IMAGER,31,-999.000
-80.874000,26.504000,2017001,"2015",GOES-EAST,ANALYSIS,27,-999.000
-80.592000,26.682000,2017001,"2015",GOES-EAST,ANALYSIS,94,-999.000
-80.870000,26.470000,2017001,"2015",GOES-EAST,IMAGER,31,-999.000
-80.570000,26.640000,2017001,"2015",GOES-EAST,IMAGER,94,-999.000
-80.558000,26.500000,2017001,"2115",GOES-EAST,ANALYSIS,27,-999.000
-80.800000,26.470000,2017001,"2130",GOES-EAST,IMAGER,31,-999.000
-80.820000,26.470000,2017001,"2200",GOES-EAST,IMAGER,31,-999.000
-80.484000,26.643000,2017001,"2215",GOES-EAST,ANALYSIS,27,-999.000
-81.094000,26.582000,2017002,"1407",GOES-EAST,ANALYSIS,56,-999.000
-80.906000,26.654000,2017002,"1415",GOES-EAST,ANALYSIS,31,-999.000
-81.191000,26.887000,2017002,"1415",GOES-EAST,ANALYSIS,31,-999.000
-80.760000,26.524000,2017002,"1425",GOES-EAST,ANALYSIS,27,-999.000
-80.591000,26.674000,2017002,"1425",GOES-EAST,ANALYSIS,27,-999.000
-81.060000,26.560000,2017002,"1425",GOES-EAST,IMAGER,56,-999.000
-80.490000,26.751000,2017002,"1430",GOES-EAST,ANALYSIS,57,-999.000
-80.553000,26.490000,2017002,"1437",GOES-EAST,ANALYSIS,27,-999.000
-80.649000,26.741000,2017002,"1437",GOES-EAST,ANALYSIS,94,-999.000
-80.480000,26.730000,2017002,"1437",GOES-EAST,IMAGER,27,-999.000
-80.480000,26.730000,2017002,"1445",GOES-EAST,IMAGER,27,-999.000
-80.456000,26.567000,2017002,"1515",GOES-EAST,ANALYSIS,57,-999.000
-80.545000,26.625000,2017002,"1515",GOES-EAST,ANALYSIS,31,-999.000
-81.083000,26.791000,2017002,"1515",GOES-EAST,ANALYSIS,31,-999.000
-80.520000,26.600000,2017002,"1545",GOES-EAST,IMAGER,43,-999.000
-80.452000,26.954000,2017002,"1600",GOES-EAST,ANALYSIS,31,-999.000
-80.839000,26.610000,2017002,"1607",GOES-EAST,ANALYSIS,94,-999.000
-80.830000,26.600000,2017002,"1607",GOES-EAST,IMAGER,31,-999.000
-80.383000,26.699000,2017002,"1630",GOES-EAST,ANALYSIS,31,-999.000
-81.844000,27.020000,2017002,"1645",GOES-EAST,ANALYSIS,94,-999.000
-82.057000,27.143000,2017002,"1645",GOES-EAST,ANALYSIS,56,-999.000
-82.100000,27.368000,2017002,"1645",GOES-EAST,ANALYSIS,56,-999.000
